word,corpus_freq,cooc_with_core,p_w,p_w_given_core,pmi,lift
メロン,9102,3756,0.02821065942648864,0.0543041378712084,0.6549005275566724,1.9249510282705078
モダン,3162,1300,0.009800275225945624,0.018795361883006102,0.651199661485317,1.9178402085327708
透明,5073,2083,0.015723211961170828,0.030115952924847467,0.6499169394993879,1.9153817298412152
若干,6202,2545,0.01922242471578582,0.03679553537865425,0.6492989651293348,1.914198438682767
キン,4662,1908,0.014449362145274668,0.02758580805598126,0.6466511682176355,1.909136734108541
シャープ,2253,920,0.006982928552832224,0.013301333024896625,0.6443958654159476,1.9048359043429857
冷酒,3801,1550,0.011780786253579797,0.022409854552814967,0.6430308767291496,1.9022375986157412
仕込み,3539,1441,0.01096874573833699,0.0208339357487783,0.6415332514591648,1.8993908917007138
心地,3258,1315,0.010097816788782682,0.019012231443194635,0.6327632912549808,1.882806139275043
作り,3610,1451,0.011188802519185232,0.020978515455570657,0.6285853373623673,1.8749562716474069
温燗,3758,1502,0.01164751242855903,0.021715871960211665,0.6229507881557755,1.8644214456441013
旨み,58122,23167,0.1801428199501618,0.33494780672584795,0.6202247384211352,1.8593458613477596
変化,4850,1925,0.015032047705830574,0.027831593557528265,0.6159873985954618,1.8514838498505464
個性,3049,1210,0.009450044011356169,0.01749414452187491,0.6158468274076382,1.8512236028585796
力強い,2253,891,0.006982928552832224,0.012882051875198797,0.6123666228436709,1.8447921638800002
アツシ,3831,1514,0.011873767991966377,0.02188936760836249,0.6116694251018512,1.84350642720765
独特,3436,1354,0.010649508436543062,0.019576092299684815,0.6087953061731803,1.838215577397994
長い,2616,1030,0.008108007587309852,0.014891709799612527,0.6079525044516982,1.8366669788173486
近い,3638,1430,0.011275585475012707,0.02067489807130671,0.6062804999809915,1.833598629279462
因み,2004,786,0.006211180124223602,0.011363964953879074,0.6040964660295572,1.829598357574531
冷や酒,2666,1045,0.008262977151287487,0.015108579359801057,0.6034777994653635,1.8284667963104473
パイナップル,3782,1474,0.011721897819268296,0.02131104878119307,0.5977669593359852,1.8180544746058322
気持ち,2671,1037,0.00827847410768525,0.014992915594367174,0.5939191309246725,1.8110723545597165
見応え,2070,803,0.00641573994867408,0.011609750455426076,0.5930909634924529,1.8095731043190777
特有,2165,835,0.006710182120231586,0.012072405517161612,0.5872962202193714,1.799117416018056
アップ,1799,693,0.0055758049119152995,0.010019373680710176,0.5860839010444764,1.7969376330400524
瑞々しい,3102,1194,0.009614311749172462,0.01726281699100714,0.5853020860211693,1.795533309234851
優しい,11801,4534,0.036575916490001366,0.06555243905965359,0.5834604142468317,1.7922295693553827
面白い,4027,1544,0.012481248682758706,0.022323106728739554,0.5813949055383735,1.78853152405946
風味,6118,2344,0.018962075848303395,0.03388948327212792,0.5806637617911604,1.787224328351167
全て,2565,982,0.007949938632052666,0.014197727207009224,0.579917686554702,1.7858914218238924
柔らかい,5787,2213,0.01793617733477145,0.031995489113148076,0.5787751742823168,1.7838521841061945
シガ,1855,708,0.005749370823570251,0.010236243240898708,0.5768442544572903,1.7804110319226536
相性,3779,1441,0.011712599645429637,0.0208339357487783,0.5759180284551393,1.778762732397149
フレッシュ,17014,6483,0.05273304323030957,0.09373102391348351,0.5751869674442721,1.77746282353015
酒質,2327,883,0.007212283507519123,0.012766388109764914,0.5710301731067745,1.7700896112105677
仕事,2019,764,0.006257670993416893,0.011045889598935894,0.5682503066587891,1.7651758314804717
